ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
19,Briefportal Leibniz. Ausgewählte Briefe in HTML,Leibniz,Gottfried Wilhelm,,,"Göttinger Akademie der Wissenschaften / 
Niedersächsische Staats- und Universitätsbibliothek 
Göttingen",51.5333,9.9333,Göttingen,2921044,51.5333,9.9333,Germany,https://www.sub.uni-goettingen.de/sub-aktuell/,2016,"""GER""",https://leibniz-briefportal.adw-goe.de,Modern,"Metaphysics, Logic, Philosophy of Science, Epistemology",Letter,no,yes,no,no,HTML,yes (PDF),no,,
20,"
Ein Sermon von Ablass und Gnade: a digital edition",Luther,Martin,Christiane Rehagen,,"Taylor Institution Library, University of Oxford",51.754816,-1.254367,Oxford,2640729,51.754816,-1.254367,United Kingdom,https://www.ox.ac.uk/,2018,"""ENG""",https://editions.mml.ox.ac.uk/editions/ablassgnade6/,Medieval,Philosophy of Religion,Book,yes,no,no,no,TEI/XML,yes ,yes,,
21,Ahiqar – The Story of Ahiqar in its Syriac and Arabic Tradition,,,Kratz,Reinhard G.,"Georg-August-Universität Göttingen / 
Niedersächsische Staats- und Universitätsbibliothek Göttingen",51.54128,9.9158,Göttingen,2918632,51.54128,9.9158,Germany,https://www.uni-goettingen.de/de/theologische+fakult%C3%A4t/19855.html,2021,"""SYR, ARA""",https://ahiqar.uni-goettingen.de,Ancient,"Philosophy of Religion, Philosophy of Culture","Manuscript, Inscription",yes,yes,no,no,XML-TEI,partial,yes,,
21,Ahiqar – The Story of Ahiqar in its Syriac and Arabic Tradition,,,Elrefaei,Aly,"Georg-August-Universität Göttingen / 
Niedersächsische Staats- und Universitätsbibliothek Göttingen",51.54128,9.9158,Göttingen,2918632,51.54128,9.9158,Germany,https://www.uni-goettingen.de/de/theologische+fakult%C3%A4t/19855.html,2021,"""SYR, ARA""",https://ahiqar.uni-goettingen.de,Ancient,"Philosophy of Religion, Philosophy of Culture","Manuscript, Inscription",yes,yes,no,no,XML-TEI,partial,yes,,
21,Ahiqar – The Story of Ahiqar in its Syriac and Arabic Tradition,,,Birol,Simon,"Georg-August-Universität Göttingen / 
Niedersächsische Staats- und Universitätsbibliothek Göttingen",51.54128,9.9158,Göttingen,2918632,51.54128,9.9158,Germany,https://www.uni-goettingen.de/de/theologische+fakult%C3%A4t/19855.html,2021,"""SYR, ARA""",https://ahiqar.uni-goettingen.de,Ancient,"Philosophy of Religion, Philosophy of Culture","Manuscript, Inscription",yes,yes,no,no,XML-TEI,partial,yes,,
22,Correspondance Barbeyrac ,Barbeyrac,Jean,Päivärinne ,Meri ,Lumières.Lausanne / University of Helsinki,46.5197,6.6323,Lausanne / Helsinki,2659994,46.5197,6.6323,Switzerland / Finland,https://lumieres.unil.ch/fiches/biblio/9469/,2017,"""FRA""",https://lumieres.unil.ch/projets/barbeyrac/,Modern,"Philosophy of Law, Ethics, Political Philosophy",Letter,no,no,no,no,HTML/XML,no,not provided,,
22,Correspondance Barbeyrac ,Barbeyrac,Jean,Kapossy,Béla,Lumières.Lausanne / University of Helsinki,46.5197,6.6323,Lausanne / Helsinki,2659994,46.5197,6.6323,Switzerland / Finland,https://lumieres.unil.ch/fiches/biblio/9469/,2017,"""FRA""",https://lumieres.unil.ch/projets/barbeyrac/,Modern,"Philosophy of Law, Ethics, Political Philosophy",Letter,no,no,no,no,HTML/XML,no,not provided,,
22,Correspondance Barbeyrac ,Barbeyrac,Jean,Lovis,Béatrice,Lumières.Lausanne / University of Helsinki,46.5197,6.6323,Lausanne / Helsinki,2659994,46.5197,6.6323,Switzerland / Finland,https://lumieres.unil.ch/fiches/biblio/9469/,2017,"""FRA""",https://lumieres.unil.ch/projets/barbeyrac/,Modern,"Philosophy of Law, Ethics, Political Philosophy",Letter,no,no,no,no,HTML/XML,no,not provided,,
22,Correspondance Barbeyrac ,Barbeyrac,Jean,Korkman,Petter,Lumières.Lausanne / University of Helsinki,46.5197,6.6323,Lausanne / Helsinki,2659994,46.5197,6.6323,Switzerland / Finland,https://lumieres.unil.ch/fiches/biblio/9469/,2017,"""FRA""",https://lumieres.unil.ch/projets/barbeyrac/,Modern,"Philosophy of Law, Ethics, Political Philosophy",Letter,no,no,no,no,HTML/XML,no,not provided,,
22,Correspondance Barbeyrac ,Barbeyrac,Jean,Pierrier,Taina,Lumières.Lausanne / University of Helsinki,46.5197,6.6323,Lausanne / Helsinki,2659994,46.5197,6.6323,Switzerland / Finland,https://lumieres.unil.ch/fiches/biblio/9469/,2017,"""FRA""",https://lumieres.unil.ch/projets/barbeyrac/,Modern,"Philosophy of Law, Ethics, Political Philosophy",Letter,no,no,no,no,HTML/XML,no,not provided,,
